id_canti,similarity,mean_similarity,deviation,id_liturgia,manually_selected,note,titolo,autore,raccolta,momento,link_youtube,score_similarity,score_deviation,score,score_selection
2152,16.75,23.99,-7.239999999999998,C49-B,98.0,ant com,Gustate e vedete,Marco Frisina,Pane di vita nuova,"26,31",JN9WTx9H75w,0.5793214285714285,-0.6279271465741543,5.1272485751455825,3.92
2355,15.53,19.49,-3.959999999999999,C49-B,98.0,and com,Gustate e vedete,Ciravegna Dell'Orso,E' bello dal lode a Dio,"21,24,20",_fZhyRhYceA,0.5371260767590618,-0.3434518647007805,4.800577941459842,3.92
2345,11.78,8.05,3.7299999999999986,,,,Signore pietà  ,Avolio-Capacchione-La Rocca,Festa con Gesù,"22,10,11",Qtg-r9zQ4zE,0.40742724946695097,2.0,2.407427249466951,
2084,14.6,12.9,1.6999999999999993,,,,Signore Pietà,Daniele Ricci,E' l'incontro della vita,"22,4,5",JKSUOlt1_CA,0.5049607675906184,0.9115281501340482,1.4164889177246667,
2083,4.1,2.65,1.4499999999999997,,,,Anima Christi,Marco Frisina,Pane di vita nuova,"31,4",BYzT9zOJHF0,0.1418040511727079,0.7774798927613943,0.9192839439341022,
1621,17.94,18.88,-0.9399999999999977,,,,Occhi di cielo,Comunità Gesù risorto,,7,mOxH2kigi8c,0.6204791897654586,-0.08152645273200328,0.5389527370334553,
2121,1.55,0.91,0.64,,,,Who you say I am,Hillsong,,"32,10,11,12,14,15,16,20,52",lKw6uqtGFfo,0.05360884861407251,0.34316353887399476,0.39677238748806726,
2150,3.02,2.61,0.41000000000000014,,,,Santo nelle Altezze ,RnS,,27,c-ufebYihbw,0.10445078891257997,0.21983914209115296,0.32428993100373293,
2405,12.59,13.9,-1.3100000000000005,,,,Le mie mani son piene (di benedizioni),José Vargas,,"32,8,10,51",jVY2rYmG0ac,0.43544219616204694,-0.1136166522116219,0.32182554395042506,
1889,15.23,17.62,-2.3900000000000006,,,,Ai piedi di Gesù (semplificata),Salvatore Martinez,,9,CYV8jlia5gs,0.526750170575693,-0.20728534258456208,0.31946482799113085,
1446,15.23,17.62,-2.3900000000000006,,,,Ai piedi di Gesù,RnS - S.Martinez,Vittoria!,9,CYV8jlia5gs,0.526750170575693,-0.20728534258456208,0.31946482799113085,
2291,19.58,23.9,-4.32,,,,Canto Penitenziale,Marco Frisina,O Croce nostra speranza,"22,4",EeZfclHIhCk,0.6772008102345415,-0.37467476149176066,0.30252604874278083,
2367,20.05,24.63,-4.579999999999998,,,,Volto dell'Uomo,Domenico Machetta,,"28,31,4",4YVuuIiZZDk,0.6934563965884862,-0.3972246313963572,0.296231765192129,
1712,12.14,13.58,-1.4399999999999995,,,,"Ti salutiamo, o Vergine",Canto tradizionale ,,"21,32,7",CHgvW9JwN-E,0.41987833688699366,-0.12489158716392017,0.2949867497230735,
1828,18.17,22.07,-3.8999999999999986,,,,Tu mi conosci,,,31,,0.628434051172708,-0.33824804856895047,0.29018600260375754,
2526,15.51,18.44,-2.9300000000000015,,,,Grazie Gesù,Francesco Biagini,,14,k2cIb1DcM4Q,0.5364343496801707,-0.2541196877710322,0.28231466190913845,
